,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
215,AV2MUS6LGV-KLJ3ALNYC,B00VKLBU3Y,357.0,5.0,"deal............ got great tablet great price prime day..... little concerned would big..to handle. wrong.first surprised.. several thing fire 10 made smile:......1) even though large size weight light much easier handle expected ( esp since fire hd 8.9 heavy unit )).......2.) several thing expecting.. one screen mirroring... mean see tablet screen great big tv screen. choose game ever. 3. ) smooth fast .. due nice processor.......4. ) whoo hoo.. google play store easily added without disrupting amazon experience ( look youtube))( took le 4 minute running ))....... 5.) think screen beautiful............ ( cannot imagine others seeing screen look great me) 6.) finally put speaker front much easier hear show music etc 7.) think fav............i put great big 125g sd card loaded download anything choose... load movie amazon prime movies,..................all audio book audible.................and huge amt kindle books...........i delighted....... get several year tablet present format..........esp. google play store .happy happy happy......",I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!,Mocha's mom,1053,1
216,AV2MUS6LGV-KLJ3ALNYC,B00VKLBU3Y,656.0,5.0,"4th kindle fire, also first generation, 8.9 hdx new 6. first thing impress thin light new model is, despite largest fire date. love narrow, widescreen design screen, perfect watching video reading book portrait mode. anyway, get carried away gushing, ill list pro one two cons, make easier read save time.pros:wide screen design perfect video allows text page books.the stereo speaker sound incredible, even better previous hdx modelfor comic book reader comic purchased amazon utilize active panel reading mode comixology. wondering amazon going incorporate feature comics, finally!battery life seems similar 8.9 hdx, im happy considering larger screen thinness device.considerably faster response time across board.finally! add micro sd card expand storage capacity! yay!the camera take photo much better quality previous firecons:would preferred rubberized back case. glossy finish fingerprint magnet also.still deciding new software layout, maybe im familiar old fire os, let say im blown away design far.","Keeps Getting Better, Especially for Comic Readers 2,",Lou1492,1009,1
217,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,126.0,5.0,"i'm huge fan echo family. two echo's, three dot one tap. essential life love playing music, listening news controlling philip hue smart light throughout home. large investment population make - said huge fan way hockey puck dot look like. glossy plastic look little cheap although effect performance them. dot cover great option look fantastic.some reviewer say look cheap fit loose - i'm sure people moving dots. since dot made stationary, loose fitting cover issue. me, fit perfectly. also made real fabric, important part look like fabric picture. fabric better option considering plastic much durable material hold color better dot happens get sunlight.i bought three cover - blue, grey white. look good grey favorite attract attention need to. said, like three colors.edit 07/11/2017 - cover hold well time. mine collected dust faded. i've kept half year single issue (not i'd expect besides possible fading).",Great upgrade for aesthetics,D. Miyao,914,1
218,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,303.0,5.0,"thoroughly impressed echo dot case take next level appearing much higher end product vs. nerdy plastic computer sitting kitchen countertop. construction solid slightly lifted still allow audio access bottom echo. case/cover give echo needed extra touch allowing blend in, still offer great functionality alexa.",The Extra Touch,dm,310,1
219,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,138.0,4.0,"love everything case except fit echo dot. expecting snug fit however, lose make sure pick move (and power cable disconnected), dot fall case.",Great case with minor design flaws,Corey Clarke,141,1
220,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,207.0,5.0,"major fan, buy protection, bought cause blend decor. skin, skin tight. yes loose often grab move it. maybe every year.","Major fan, didn't buy this because of protection, ...",A.C,118,1
221,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,245.0,3.0,like previous reviewer mentioned fabric hard plastic snug tight fit. good quality though.,Not all fabric or cloth.,Vincent Pompei,89,0
222,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,43.0,5.0,"echo dot gmc sierra denali. first support. sat hole protection. shifting, jiggling knowing happen. something do. looked search found fabric case alexa. it! support happy wear. accidental popping out, shifting readjusting, finally safe.",She loves it,Bob,235,1
223,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,14.0,5.0,change whole look echo ... purchased think gone tan leather. blue favorite color add bit pop mundane looking black disk! texture also really nice feel look it!,Great pop of color for a bland looking product!,JB 85,159,1
224,AV3ATCK2GLJLPUI8SQNA,B01LW1MS9C,5.0,5.0,great looking cover echo dot. give dot softer elegant look. feel little pricy get regret decision buy case.,Great look for Dot.,C. Morrow,107,1
225,AVPHEERYILAPNDX035P,B010BWYP20,50.0,4.0,"purchased 3 kindle kid edition tablet toddler (ages 4,3,2 year old) 1 non kid edition one older child easter. quite nervous they'd break case durable able use apps they'd using samsung tab s.after considering price purchase 3 checking apps husband pretty sure would purchase them. came across warranty. 2 year worry free guarantee! kidding knew catch, find one point convinced would good investment.i ordered 3 (at time pink blue color choices) 1 pink 2 blue. caused host issue toddler level (identifying who's tablet who's imagine)they easy set create profile add apps table . love unlimited freetime, they've table month completely work download apps/movies/books want. (with exception 2 year old course). able link disney movie anywhere account amazon account access disney digital movie tables! huge win us! wish amazon could figure way u able link ultraviolet movies, huge bummer amazon offer app make possible. also love login amazon account send apps/movies etc tablet see fit, locate page table misplaced remote lock need .read","After considering the price to purchase 3 of them and checking out the apps my husband and I were pretty sure we would purchase 1,",Clarissa Marshall,1035,1
226,AVPHEERYILAPNDX035P,B010BWYP20,669.0,1.0,"kid edition nothing basic 50 7 kindle fire extras, review primarily concerned 50-worth extra bundled kid edition. primarily, year included freetime.as gut tablet itself, fine. great, certainly fine. fastest tablet. feature-rich tablet. sharpest display. 50, deserves graded curve. 50 tablet, great.now, grab coffee, get comfortable, thought amazon's freetime service kids/parents:price plus year freetime selling point (the case added warranty nice bonuses). problem is, freetime, though fantastic theory, even half-baked. lump dough left counter rise. whoever supposed put oven got distracted forgot it. getting moldy, smell kind funny.freetime: great theory, terrible practice.normally, buy new tablet, might little bloatware pre-installed, generally start offering entire app store homescreen. find add apps want.the way install/remove apps freetime sort backwards. subtractive. every single title served home screen (and apps, books, video screens). technically pre-installed, young kid looking sea icons, look like wonderful title disposal. well, does. sort of. click elmo's face, wheel start spinning icon downloads.read","Freetime makes me angry. So, so angry. 3,",Peter Rodick,1126,0
227,AVPHEERYILAPNDX035P,B010BWYP20,194.0,3.0,"*edit 12/23/15*it appears linked sd card one made fire tablet price now, although fire one still come adapter. way day one.*end editlet's get cost/benefit buying versus 50 model way. 100, get:7 kindle fire without sponsored lockscreens 65kid-proof case 202-year accident protection 161-year free time unlimited 36 minimumthat's nice value! i've seen review people upset work without wi-fi, i'm sure expectation are. previously download app/game/video require internet access (some do, don't), work fine. performance, ok. great. freeze every need rebooted often i'd like get working again. frustrating 3-year-old, imagine. hard complain much given price, expecting stable.you want buy micro sd card fire o take 5 8 gb on-board storage. amazon something is, shall say, little sketchy. customize purchase, allows select sandisk 32 gb sd memory card all-new fire tablet 19.99 (or le depending storage size), give options. sd card look exact one ...read","Great value, OK performance, and a little shady price-gouging on SD cards. 2,",rdbud,948,0
228,AV29VS9CVKC47QAVP03C,B00VKM5NFY,25.0,5.0,"previously owned asus infinity 10 inch screen died vacation grabbed smaller 8 gb fire one day sale. could get used small screen lack storage new 10 inch fire. liked fire 7 love this. 32 gb sufficient downloading ton books, music, couple movie game pair ability last use memory card (and time amazon make version this) storage enough even power users! set breeze follow onscreen instructions. within minute box surfing web, checking email posting facebook. charging battery full streamed one hour tv show netflix checked afterwards battery still 95 percent. writing review right now. prime download movie watch later without needing wifi big plus storm season power go least watch movie.","Simply gorgeous 3,",Irene,686,1
229,AV29VS9CVKC47QAVP03C,B00VKM5NFY,769.0,3.0,"bought tablet size, economical price point, ability watch content offline. offer exactly that...but fall short performance parameters. price sensitive looking value tablet, large screen, ability watch content offline, great device get. however, already earlier kindle like hdx 8.9 even earlier version fire, recommend keeping tablet since device really worthwhile upgrade. disappointed several operating shortcoming device.the- constant freezing device,- slow speed load apps,- significant lag switching apps become worse load stuff tablet,- erratic wifi connection drop often ensuing trouble connect back network, and- frequent need reboot device,all factor made frustrating device . hdx far better every aspect, heck even original fire 7 run better device.the good thing device screen size microsd slot. watching video this, would like option watching content offline traveling, tablet would fine. otherwise, hdx still better option, could get 7 8 fire models. priced cheaper work better.original review below---for price point size alone, fire hd 10 would seem like good deal. performance, however, fall short expectations. would probably rate 3.5 overall. price, rating would even lower.read","I wanted to like this tablet...ended up somewhat disappointed 3,",FreeSpirit,1195,0
230,AV29VS9CVKC47QAVP03C,B00VKM5NFY,357.0,5.0,"deal............ got great tablet great price prime day..... little concerned would big..to handle. wrong.first surprised.. several thing fire 10 made smile:......1) even though large size weight light much easier handle expected ( esp since fire hd 8.9 heavy unit )).......2.) several thing expecting.. one screen mirroring... mean see tablet screen great big tv screen. choose game ever. 3. ) smooth fast .. due nice processor.......4. ) whoo hoo.. google play store easily added without disrupting amazon experience ( look youtube))( took le 4 minute running ))....... 5.) think screen beautiful............ ( cannot imagine others seeing screen look great me) 6.) finally put speaker front much easier hear show music etc 7.) think fav............i put great big 125g sd card loaded download anything choose... load movie amazon prime movies,..................all audio book audible.................and huge amt kindle books...........i delighted....... get several year tablet present format..........esp. google play store .happy happy happy......",I am delighted.and should get several years out of this Big tablet esp w screen mirror . now google play is on it. !!,Mocha's mom,1053,1
231,AV29VS9CVKC47QAVP03C,B00VKM5NFY,656.0,5.0,"4th kindle fire, also first generation, 8.9 hdx new 6. first thing impress thin light new model is, despite largest fire date. love narrow, widescreen design screen, perfect watching video reading book portrait mode. anyway, get carried away gushing, ill list pro one two cons, make easier read save time.pros:wide screen design perfect video allows text page books.the stereo speaker sound incredible, even better previous hdx modelfor comic book reader comic purchased amazon utilize active panel reading mode comixology. wondering amazon going incorporate feature comics, finally!battery life seems similar 8.9 hdx, im happy considering larger screen thinness device.considerably faster response time across board.finally! add micro sd card expand storage capacity! yay!the camera take photo much better quality previous firecons:would preferred rubberized back case. glossy finish fingerprint magnet also.still deciding new software layout, maybe im familiar old fire os, let say im blown away design far.","Keeps Getting Better, Especially for Comic Readers 2,",Lou1492,1009,1
232,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,350.0,4.0,"really worth wait. bought echo show parents, elderly, variety ailments. since arthritis, issues, want go answer doorbell, find someone soliciting buy random junk. so, last year, bought installed ring doorbell pro house, work well. ring doorbell pro hardwired battery operated. skill enabled, could tell alexa show front doorbell video feed automatically pop up. really need good wi-fi router echo show video jerky since video high quality. good wi-fi router, video come quickly run smooth. thought doorbell would launch app echo show automatically, not. initiate connection yourself. hopefully option next iteration skill. think whole bunch idea skill do, first implementation, work great hardwired version ring doorbell pro.the battery powered ring product work great though. trying connect echo show battery powered ring device, get message saying something like, camera asleep need wake could take 30 sec. happens ring stickup camera. so, want best experience, buy ring doorbell pro instead battery powered versions.one parent came hospital sometimes energy even pick cell phone call. so, another echo show, her, drop mode.read","The best Echo yet, especially if you have elderly parents",RPL,1130,1
233,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,848.0,4.0,"initially gave echo show 3 star rating. fairness 20 day use i've decided change score here's why. first amazon reached requesting feed back advice. appreciate concern attempt improve device. i've also noticed quite update short time i've show honestly thing changing better. i've updating review continue i've noticed update get hand experience. separating expectation actual capability device i've come conclusion show still wanting despite capabilities. currently original echo living room, dot bedroom, one work. lights, fans, thermostat, surround sound, tv connected alexa devices. course buy one screen. i'm big fan alexa, product become routine part day. soon show available preorder ordered one without hesitation.initially wanted put show 70 inch tv stand 60 inch tv original echo was. figured look bad could use digital picture frame also. end table quickly came realization viewing 7 inch screen 8 foot away going work me. show sits kitchen counter. figured i'd get use living room alexa enabled device generally spend time living room kitchen. people mentioned put desk.read",Maybe I was expecting more...,Ni,1085,1
234,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,294.0,5.0,"amazon echo show voice-activated device. instruct play video content, play music, stream online audio, order product services, control home automation products. echo show first device kind feature screen, opinion, greatly enhances use potential device.ive using device day far. find initial impressions: like good build quality: show nice, bright screen good viewing angles.good sound: speaker show sound much better original echo.easy setup: setup extremely easy, mostly due show touch screen. making selections, show running time.content suggestions: interacting show, continuously display content suggestions. like suggest video watch.video content: like able view amazon video, video news briefings, movie trailers, youtube video show.video calling: video calling work advertised. like able initiate call voice.music lyrics: playing song amazon music, see album art song lyric screen.home automation: like echos, show control smart home products. show extra ability display camera feeds.on-screen apps: echo display calendar, reminders, lists, timers, local weather, more. this, find show infinitely useful original echo. like show need functionality leverage touch screen.read",Best Echo available!,Quentin Moore,1181,1
235,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,729.0,3.0,"currently original echo living room, dot bedroom, one work. lights, fans, thermostat, surround sound, tv connected alexa devices. course buy one screen. i'm big fan alexa, product become routine part day. soon show available preorder ordered one without hesitation.initially wanted put show 70 inch tv stand 60 inch tv original echo was. figured look bad could use digital picture frame also. end table quickly came realization viewing 7 inch screen 8 foot away going work me. show sits kitchen counter. figured i'd get use living room alexa enabled device generally spend time living room kitchen.the problem displaying show kitchen counter screen seen straight larger kitchen, standing directly front it, hard view screen. turn direction would facing you.as far tell cut screen completely, would make bad fit bedroom. clock display white screen dim black using command turn screen. *update* screen cut off.this device marketed hand free companion kitchen thing like recipes. frustration ask pull recipe inconsistent. sometimes want send recipe phone, sometimes want swipe screen access cooking direction ingredients.read",Maybe I was expecting more...,Ni,1122,0
236,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,56.0,3.0,"i've echo show little 24 hour now, please take consideration. currently original echo living room, dot bedroom, one work. lights, fans, thermostat, surround sound, tv connected alexa devices. course buy one screen.initially wanted put show 70 inch tv stand 60 inch tv. end table quickly came realization viewing 7 inch screen 8 foot away going work me. show sits kitchen counter. figured i'd get use living room generally spend time kitchen.the problem displaying show kichen counter screen seen straight on, standing directly front it, hard view screen. turn dirction would facing you.as far tell cut screen completely, would make bad fit bedroom. clock display white screen dim black using command turn screen.this device marketed hand free companion kitchen thing like recipes. frustration ask pull recipe inconsistent. sometimes want send recipe phone, sometimes want swipe screen access cooking direction ingredients. can't say alexa scroll touch screen send recipe phone view show already screeni hoping video footage daily briefings, limited.read",Maybe I was expecting more,Ni,1053,0
237,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,6.0,5.0,"waited two day set show give reward working. read majority review already posted. idea even one-star review.setup breeze. ring pro screen pop brilliantly. nest cameras, too. played adele maximum volume sang along lyric show trickled screen.as far boo hoo headline show displays, give voice command dnd. problem solved. then, tell wake up.i followed simple instruction change generic photo show's home screen. easy peasy.granted, made video call yet. waiting folk get game buy show.i'm lover thing amazon. bought newest fire tablet returned week. show redeemed amazon.if working, either got dud something right.",Yeehaw,kas9103,610,1
238,AV000TWUGV-KLJ3AC2-B,B01KIOU4EO,3.0,5.0,"first day echo show. i'm pretty pleased it. observation think hit reviews:* sound quality seems similar echo cylinder. good desktop listening experience, impressive want fill room sound.* show ambient light sensor (using camera) screen dims room lighting go down. darkened room night work pc, show display dimmed point could make time, background photo all.* much made show displaying lyric playing prime music. appeal me, playing music spotify, pandora, music amazon, show display song title, artist name, album art, progress indicator. that's really nice listening playlist - always asking echo cylinder alexa, what's song* alexa always weak recognizing name pandora channels. show, alexa recognize name, ask display pandora channel select fro mthe show touch screen, good fallback require pull phone fire alexa app, work way multiple screen get selection.* newsfeeds accompanied appropriate photographs.* set show use album amazon prime photo slideshow device inactive. afaik, photo server cannot used.",Day 1 review: I liked my Echo. I like my Echo Show even more.,Sandbagger,1005,1
239,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,64.0,5.0,read review fire hdx 8.9 buy 10.1 tablet. resolution good 10.1 hdx. start faster hdx. nice size solid square like ipad's. saved 80.00 buy refurbished nothing wrong it. highly recommend kindle high priced ipad.,The resolution is just as good on the 10,Sandy,209,1
240,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,34.0,3.0,"i've 4 kindles loved now. tried save buck purchasing refurbished fire 10. i'm disappointed performance. slow loading , freeze constantly restart it. battery life terrible.",Disappointed,donna,171,0
241,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,83.0,5.0,review certified refurbished fire hd 10 unit ordered. looked acted like new unit 80 less. still trying decide want give back 15 remove obnoxious add lock screen. really bad.,Excellent refurbished HD 10 Good price,Amazon Customer,173,1
242,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,29.0,5.0,"purposely waited almost 4 month leaving review. wanted see issue developed leaving feedback. disappointed. refurbished fire arrived perfect condition, scratch wear. purchased screen cover immediately insure would remain good shape. 4 months, work like champ. issue whatsoever. pleased would hesitate purchasing refurbished item again. amazon always treated superbly issue might order returns.",WHY BUY NEW.... REFURBISHED IS TOPS!!!,GMA,392,1
243,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,27.0,3.0,i've owned several different tablets. one far slowest. mean little slower. mean wait 2 minute sometimes apps load onto screen. opening apps quick take 3 minutes. i've far issue fire others we've owned. realized difference speed would kept old one. definitely work larger screen. crap shoot daily basis fast be. even fastest day significantly slower others.,Slowest Fire Sold,Sara B,356,0
244,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,143.0,3.0,"i've kindle fire hdx 7 inch tablet almost 3 year compare fire hd 10, earlier tablet come big winner. find larger tablet considerably slower. several apps load quite slowly. battery consumed much quickly. maybe comparing apple apples, expected least speed.",I've had the Kindle Fire HDX 7 inch tablet for ...,Giacomo,255,0
245,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,16.0,3.0,probably 3 weeks. wanted fair review. battery kindle fire 8.9 hdx quit talking tablet keep plugged use it. tried fire 8 first care much smaller screen was. returned 8 waited bit ordered fire 10. amazon give discount due problem 8.9. fire 10 opinion comparison 8.9. apps 10 work like smartphone apps. first three day froze 4 times. wondered many apps opened. started closing apps using tablet freeze problem. like bigger screen 10 color sharp picture clear. also learned 8.9 longer supported amazon meant update eventually replacement would necessary. amazon stopped 8.9 beyond i'm ok 10. get give time.,Fire Ten OK,gamecrazy,602,0
246,AV1T1NR5-JTXR-F31CPL,B0117U8JSG,22.0,5.0,"i've hdx 7 going 3 years, love it! needed larger screen eyes, i'm glad went refurbished, i've get used different op system. use gaming movies, avid reader awesome increasing size page font. problem downloading book that's lack kindle tech take much longer get used newer system.",Replacing kindle hdx 7,G Fontaine,278,1
247,AV1T19K3GV-KLJ3ADSMS,B01A08ECQY,17.0,4.0,"owned 4 kindles love them! first one lasted year died old age overuse. used much printed keypad blank. got 2 kindle fires. gave one daughter kept other. problem fire broke read direction, else fails. operator error used year heavy old overused hands. heavy though. book give problems. even paperbacks. bought smaller, lighter new kindle loved first. carried purse lot froze months. called customer support replaced refurbished one. time bought light weight cover it. like added weight cover order never leave home without protect it. one month problems. 600 book awaiting pleasure! looked kindles again. i'm getting paranoid little kindle considering site backup although amazon would get one couple days. still giving thought. basically love kindles use current one different apps.",Love my Kindles!,Dixie Bee,782,1
248,AV1T19K3GV-KLJ3ADSMS,B01A08ECQY,3.0,5.0,useful enjoy reading inspiring habit reading. needed anyone yet,Wonderfull,Alex Johnson,63,1
249,AV1T19K3GV-KLJ3ADSMS,B01A08ECQY,18.0,5.0,kindle fire frustrated taking beach. model easy read beach easy set up. can't tell refurbished - look brand new.,Great beach reader!,Beaches,112,1
251,AV1T19K3GV-KLJ3ADSMS,B01A08ECQY,31.0,1.0,"buy reburbished kindle. i've return them, twice. apparently, amazon's definition refurbish take kindle problem defect, simply repackage send see different customer might take hands.both times, 'refurbished' kindles shorted different ways. kindles especially liked misfunction middle working gym.",Don't buy a refurbished Kindle!,James H Mann,295,0
253,AV1T19K3GV-KLJ3ADSMS,B01A08ECQY,25.0,1.0,"bought refurbished kindle literally one month owning device started freeze. reboot multiple time would start working. went trip worked soon returned battery died charged night next morning screen frozen character reading book tree. tried rebooting method (20 seconds, 40 seconds, 1 minute) nothing. called customer service phone hour. eventually said could give 35 next purchase new kindle. pretty bummed refurbished product backed them. ended buying new kindle discount gave went new one begin since ended spending amount money way headache deal with. figure new kindle paper weight have.",I was pretty bummed out that a refurbished product of their own ...,Daniel Altenburg,589,0
254,AV1T19LYGLJLPUI8H8Y,B01J2G4VBG,61.0,5.0,"although i've owned almost every model kindle ebook reader since 2nd generation kindle bought 2009, think hard ordering new voyage. happy paperwhite (the 2nd generation released fall 2013), much wanted try voyage, sure wanted spend 199 one. became moot point, though, wife ordered voyage, saying early christmas present me. i've time use voyage, say i'm impressed. hardware feature like 300 ppi display, led automatically adjust screen brightness depending ambient lighting, user's choice touchscreen sensor acting like button turn pages, voyage hand state-of-the-art e-ink ebook reader. end review, i'll give opinion whether worth upgrading current ebook reader.when received voyage, setup quick (although go brief tutorial), downloading book amazon cloud adjusting settings, voyage ready go. here's brief comparison voyage paperwhite:voyage---------size: 6.4x4.5x0.30weight (wi-fi version): 6.3 ouncesdisplay: 6 diagonal, 300 pixel per inch, 16-level grayscale, led frontlitstorage memory: 4gbpage turns: touchscreen plus pagepressdisplay lighting: adaptive light sensor (automatic) plus manual adjustmentpaperwhite-------------size: 6.7x4.6x0.36weight (wi-fi version): 7.read","The state of the art e-ink reader but is it worth the money to upgrade 13,",J. Chambers,1178,1
255,AV1T19LYGLJLPUI8H8Y,B01J2G4VBG,82.0,5.0,"since people gone detail device, answer burning question received mine. happy paperwhite would bought mine stolen/lost (not sure which). husband still paperwhite, able compare side side.can use wall charger paperwhite charge voyageyes.can pressing page turner cause repetitive use issuesi think so. turn pressure need (which slight) turn completely turn page tap. actually nice options.can see turn page darkno. guess page forward area is, page back dot, guessing would difficult. still tap turn pages. using cover helps, edge cover would right dot.does feedback buzz annoy turn pagesi think take little getting used to, turn down, think notice while. (there's sound purely tactile.) month later: distracting forget it.is adjustable light nicei still manually. adjust way i'd like to. bright good light i'd like, dim husband sleeping next me. note want use night light, set separately auto adjust. settings/device options/screen light. i'm actually sure night light working. 18 turned light (this quite bright), checked 10 minute later, 17.read","I was very happy with my Paperwhite and would not have bought this ... 5,",K.E. Fuhrmann,1044,1
256,AV1T19LYGLJLPUI8H8Y,B01J2G4VBG,581.0,3.0,"i've got mixed feeling one, unfortunately. review coming kindle enthusiast owned used nearly every variation device since 1st generation.size weight---it's noticeably smaller lighter paperwhite. saw spec really strike something would make much difference me, real life actually great. voyage fit coat pocket paperwhite little big fit into.origami cover---i know there's separate product page origami cover, worth mentioning official cover. origami cover ugly skeptical, actually love it. weird open flipping top like notepad. actually make comfortable hold cover open, opinion. hard describe, lot way hold voyage attached cover, generally comfortable use. origami part case work great well... stand vertically horizontally (if laying reading, amazing).the great new thing case voyage attache magnetically. attache detaches easily, unlike paperwhite seemed nearly permanently attached standard case. great decide want read device appreciate light/thin without case attached, super easy take out.it's pricey worth it.pagepress---one new feature pagepress, sensor outer edge device squeeze turn pages.read","Almost like Paperwhite v1 all over again 5,",sam,1102,0
257,AV29EPZLGV-KLJ3AMJUT,B00QJDS7I4,870.0,5.0,"let guess: love books, sure want get kindle love feel books, righti'm tell kindle perfect balance book digital format.short reviewyes, buy kindle. get paperwhite ads. welcome.long reviewi love physical book too, i'm you. know myself, know forget take book i'm reading me, that's it. i'll start another book rarely finish first. also know try read phone ipad i'll get distracted start wondering what's happening internet (instagram's gonna scroll itself). either way i'm finishing book.why kindlethe kindle take best world mash together. e ink display honestly incredible. wish iphones e ink display. really look like printed page. get experience reading physical paper book, perk digital.namely:- share book reading goodreads, facebook, twitter (so look smort)- built dictionary (so learn proper spelling word smort)- export highlight pdfplus, it'll also sync kindle app phone squeeze final page chapter bathroom (don't pretend that. either phone reading febreeze ingredients)reading bedthe backlight look great. perfect size.read",Honest Kindle Review,BShaw,1030,1
258,AV29EPZLGV-KLJ3AMJUT,B00QJDS7I4,177.0,5.0,"review updated september 17, 2015as background, retired information system professional writing review perspective long-time kindle user. current e-readers fire device amazon including basic kindle, 2013, 2014 new 2015 paperwhite, fire hd6, fire hd7, fire hdx7 fire hdx8.9. review 2015 all-new kindle paperwhite. attached picture show 2014 kindle left new 2015 kindle right. summary initial impression 2015 model versus 2014 model.i somewhat disappointed 2015 version huge improvement last year model. paperwhite made many improvement original first generation 2012 model second generation 2013 model, especially display processor area. 2013 model came 2 gb storage, wonderful display, great battery e-book workhorse. second generation 2014 model changed increasing storage 4 gb. third generation 2015 model increased display resolution reduced battery life slightly.what come box: paperwhite device, quick-start guide short usb cord. amazon still supply power adapter.size: identical size older paperwhites. weight reduced slightly 7.3 7.2 ounces, fraction ounce, likely smaller battery.the good news case fit paperwhites fit 2015 version!!display: resolution bumped 300 ppi, equivalent voyage.read","No big improvement in the 2015 model 10,",Desert Rat,1199,1
259,AV29EPZLGV-KLJ3AMJUT,B00QJDS7I4,215.0,5.0,"reading review new 3rd generation paperwhite, likely considering buying one. so, probably one categories:* never owned kindle e-ink reader* older kindle e-ink reader, paperwhite* first second generation paperwhitei'll save opinion whether new paperwhite 3 worth buying end review. (but say this: they've taken great product made even better.) first, here's comparison new paperwhite second generation paperwhite (comparisons wi-fi models):second generation paperwhite (2013)-------------------------------------------size: 6.7x4.6x0.36weight (wi-fi version): 7.3 ouncesdisplay: 6 diagonal, 212 pixel per inch, 16-level grayscale, led frontlitstorage memory: 4gbpage turns: touchscreennumber fonts: 6display lighting: manually adjustable front-lightingall-new paperwhite (2015)------------------------------size: 6.7x4.6x0.36weight (wi-fi version): 7.2 ouncesdisplay: 6 diagonal, 300 pixel per inch, 16-level grayscale, led frontlitstorage memory: 4gbpage turns: touchscreennumber fonts: 7display lighting: manually adjustable front-lightingnote physical size identical older paperwhite, cover sleeve worked older paperwhites still usable (thank you, amazon). obvious difference screen resolution: 300 pixel per inch major jump 212 pixel per inch older paperwhites.read","A great product that's now even better 8,",J. Chambers,1268,1
260,AV1T19JOGLJLPUI8H8Y9,B00U879XZ8,586.0,5.0,"let guess: love books, sure want get kindle love feel books, righti'm tell kindle perfect balance book digital format.short reviewyes, buy kindle. get paperwhite ads. welcome.long reviewi love physical book too, i'm you. know myself, know forget take book i'm reading me, that's it. i'll start another book rarely finish first. also know try read phone ipad i'll get distracted start wondering what's happening internet (instagram's gonna scroll itself). either way i'm finishing book.why kindlethe kindle take best world mash together. e ink display honestly incredible. wish iphones e ink display. really look like printed page. get experience reading physical paper book, perk digital.namely:- share book reading goodreads, facebook, twitter (so look smort)- built dictionary (so learn proper spelling word smort)- export highlight pdfplus, it'll also sync kindle app phone squeeze final page chapter bathroom (don't pretend that. either phone reading febreeze ingredients)reading bedthe backlight look great. perfect size.read",Honest Kindle Review,BShaw,1030,1
261,AV1T19JOGLJLPUI8H8Y9,B00U879XZ8,120.0,5.0,"review updated september 17, 2015as background, retired information system professional writing review perspective long-time kindle user. current e-readers fire device amazon including basic kindle, 2013, 2014 new 2015 paperwhite, fire hd6, fire hd7, fire hdx7 fire hdx8.9. review 2015 all-new kindle paperwhite. attached picture show 2014 kindle left new 2015 kindle right. summary initial impression 2015 model versus 2014 model.i somewhat disappointed 2015 version huge improvement last year model. paperwhite made many improvement original first generation 2012 model second generation 2013 model, especially display processor area. 2013 model came 2 gb storage, wonderful display, great battery e-book workhorse. second generation 2014 model changed increasing storage 4 gb. third generation 2015 model increased display resolution reduced battery life slightly.what come box: paperwhite device, quick-start guide short usb cord. amazon still supply power adapter.size: identical size older paperwhites. weight reduced slightly 7.3 7.2 ounces, fraction ounce, likely smaller battery.the good news case fit paperwhites fit 2015 version!!display: resolution bumped 300 ppi, equivalent voyage.read","No big improvement in the 2015 model 10,",Desert Rat,1199,1
